ID,Gender,Household income,Method,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume in lpcd
264,male,80000,delivered,1,4,0,75,134,90,often,good,140,0,0,0,0,20
265,male,55000,delivered,1,3,0,75,134,90,often,fair,140,0,0,0,0,20
266,male,80000,delivered,1,4,0,75,134,90,not_often,very good,140,0,0,0,0,20
267,female,80000,delivered,1,6,0,75,134,90,not_often,fair,140,0,0,0,0,10
268,male,80000,delivered,1,3,0,75,134,90,not_often,good,140,0,0,0,0,20
269,female,80000,delivered,1,3,0,75,84,120,not_often,fair,170,0,0,0,0,40
270,female,80000,delivered,1,4,0,75,94,120,not_often,good,170,0,0,0,0,30
271,female,65000,delivered,1,5,0,75,94,120,not_often,fair,170,0,0,0,0,30
272,male,45000,delivered,1,3,0,75,84,165,not_often,good,210,0,0,0,0,50
273,male,50000,delivered,1,4,0,75,84,165,often,good,210,0,0,0,0,50
274,female,40000,delivered,1,4,0,75,88,165,not_often,good,210,0,0,0,0,50
275,male,85000,delivered,1,6,0,75,94,165,not_often,fair,210,0,0,0,0,30
276,female,105000,delivered,1,6,0,75,94,165,often,fair,210,0,0,0,1,30
277,female,75000,delivered,1,4,0,75,84,120,often,fair,170,0,0,0,0,40
278,male,85000,delivered,1,6,0,75,134,120,not_often,good,170,0,0,0,0,20
279,female,65000,delivered,1,5,0,75,134,120,often,good,170,0,0,0,0,20
280,female,70000,delivered,1,5,0,75,134,120,often,good,170,0,0,0,0,20
281,female,55000,delivered,1,3,0,75,84,120,often,good,170,0,0,0,0,40
282,female,55000,delivered,1,4,0,75,88,120,not_often,fair,170,0,0,0,0,40
283,female,55000,delivered,1,3,0,75,88,165,often,fair,210,0,0,0,0,50
284,male,55000,delivered,1,6,0,75,98,165,not_often,fair,210,0,0,0,0,30
285,male,55000,delivered,1,4,0,75,98,165,often,fair,210,0,0,0,0,30
286,female,55000,delivered,1,6,0,75,98,165,not_often,fair,210,0,0,0,0,30
287,female,55000,delivered,1,6,0,75,74,210,not_often,good,260,0,0,0,0,60
288,male,70000,delivered,1,5,0,75,64,240,often,fair,290,0,0,0,0,70
289,male,100000,delivered,1,3,0,75,13,480,often,fair,300,0,0,0,0,130
290,female,40000,delivered,1,4,0,75,8,570,not_often,fair,280,0,0,0,0,150
